雷神诺诺_,这条看不见了，不是我删的。
人民日报海外版-海外网,:【武汉城管殴打配菜员：3名城管被辞退1人被立案调查】#武汉城管殴打配菜员3人被辞退#3月2日，一则“城管队员殴打生鲜店配送员”的网传视频显示，多名身穿制服的城管人员和一名黄衣男子发生肢体冲突。3月3日，该视频发布者向南都记者表示，这名黄衣男子为武汉阿拉加鲜生店的员工，双方因开店经营问题产生冲突。3月3日9时，武汉市江汉区政府办公室通报称，江汉区汉兴街工委和纪工委对发生冲突的城管人员吕某某、蒋某某、李某某予以辞退，对负有管理责任的汉兴街公共管理科相关负责人予以立案调查。http://t.cn/A67Kjv6G
一点都不污的原,:boss直聘上面明明显示活跃活跃但是拥有不理我，在想是不是我实在太菜了人家理都不理我
woxiangdangmeizhaungbozhu,:这是一条带着强烈主观情绪的微博，前天刷不到的选择，不是显示乱码就是显示此IP已投票(根本没有投过)，反复刷不放弃，今天终于刷出来了，不放弃自己手中宝贵的一票，坚决反对！
博爱众声的水莲,:今天电脑又开机就罢工了，停留在bios界面，重启N次都没鸟用……我心说也不能一有困难就求人呀，就准备按照上次熟识的师傅操作的那样，重新拔插内存条，结果拔插完之后，显示屏罢工了，忽明忽暗，但电源没问题呀，总之把插头拔拔插插无数次，甚至还搬了一台闲置的显示屏来试，都没戏。好处是干体力活就不冷了，因为不能开空调。就这样折腾一番，下午还是只好向师傅发了SOS。人家一来，三下五除二，重新拔插内存条，插紧硬盘，好了。还是要靠专业人士啊。
PharmaManufacture,:到今天是不是大家对COVID19有了一些新认识？从我非专业的知识判断，过分强调被感染人数，好像意义不大。因为从多方信息显示，重症率与致死率都没有超过流感。我觉得可以关注重症率与治疗方面信息。每天报告新增人数没有太大意义，不同国家采取的措施不同。
海口经济学院团委,:【海经分享】#青年之声·海经院##海经分享#近日，钟南山院士团队在《JournalofThoracicDisease》期刊发表研究文章。该研究把1月23日前后的人口迁徙数据及最新的COVID-19流行病学数据，整合到经典传染病学预测模型中，并得出流行曲线。预测显示：①本次疫情中国在2月下旬达到高峰，4月底趋于平缓；②公共卫生干预措施有效控制了疫情发展，严格的防控措施如“早期筛查”最好实施至2020年4月底。via：央视新闻
今晚不想心动z,#巴南区小兔赞比##227大团结#这个说的真的超级对
是你嘛小徐,:在家上网课你怕了吗？一节课看了三遍了系统还是显示未看哭辽😩
全球流行风尚,:评论反馈揪1位用心反馈的姐妹发1个小红包
雨小嘟哎,:嗯哼？？？为什么我明明看见下面有评论显示，可是点开却是空白，难道有人在骂我，然后被自动屏蔽了
二猫白菜君,:蒂佳婷水动力蓝丸面膜1片+银管bb1ml体验装蒂佳婷水动力绿丸面膜1片+v7素颜霜1ml符合显示【9.9】我符合绿色的。。
梁武才,:小米手机天气预报软件显示雨还一直下。
你是我-触碰不到的永远,:事实证明就算你到了火车站票也退不了因为那里根本不营业
天津气象,:【#钟南山团队建议严格防控实施至4月底#】#如推迟5天管控内地疫情或扩大至3倍#3月2日，广州呼吸健康研究院在官方公众号转载“AME科研时间”发布的消息称，钟南山团队近日在《JournalofThoracicDisease》期刊发表的研究文章称，人工智能预测模型已成功建立并且显示与经典传染病学预测模型相似的趋势，证实1月23日起实施的公共卫生干预措施有效控制了疫情发展。研究预测，如管控措施推迟5天实施，中国内地的疫情规模预估将扩大至3倍；如减低武汉管控力度，湖北可能在3月中旬出现第二次疫情高峰并延续至4月下旬。另外，严格的防控措施如“早期筛查”最好实施至2020年4月底。
古玉蝉,「慈母多败儿，愚母多坑儿，杨明两项全占，孙杨焉能不败？」说完孙杨，我们再扒一扒孙母杨明
步精分,:【#官方回应城管与违建户争执#：开除1人停职4人】3月1日，云南昭通昭阳区城管局执法人员马召俊等人在拆除一处违建时，与违建户冷某发生争执。视频显示，在争执当中，马召俊先与冷某对骂，后又脚踹对方。昭阳区城管局宣布，因执法不规范、不文明，对马召俊做出开除处理，另4名现场队员则被停职一月。http://t.cn/A67NhD8g
GeekPark,:#全国各地花式宅生活#一个月的宅生活，你是不是已经开始想念远在家乡的Tony老师了？据夸克App数据显示，北京人在长假中关注「理发」关键词最多，重庆人与运动相关的搜索最多。美食方面，可乐鸡翅、蛋炒饭、煎蛋喜提搜索排名前三。在家期间，你有学会哪些新技能吗？
星际不知间,:刚下回来没了给我显示一分钟前我要杀人了
西安电视台官方微博,:【#歌唱家克里木去世#：曾唱著名情歌《掀起你的盖头来》】@春晚3月3日发布微博称，原总政歌舞团著名艺术家克里木同志，于2020年3月3日凌晨与世长辞，享年79岁。克里木曾多次参加央视春节联欢晚会。公开资料显示，克里木曾演唱《掀起你的盖头来》《阿凡提之歌》等脍炙人口的歌曲。
拍者Partner,:【#航拍长沙县包装厂大火后#起火车间内部画面曝光】3月3日，湖南长沙县一包装纸盒生产车间火灾被扑灭。航拍视频显示，失火车间大量白雾冒出，厂房内仍可见零星火光。@长沙消防称，经侦查，失火处为包装纸盒的生产及原料堆垛车间，主要燃烧物质为纸盒及原材料堆垛。#长沙一包装厂起火#@新京报我们视频http://t.cn/A67NhlQc
优秀的飞行家,:关注显示数和实际差了15左右，不知道被消号的都是谁。
棒棒是真棒棒,:有毒，慕课是针对我吗？之前视频全部看完了，它只显示我看了一个，害我又把剩下的没显示的刷了一遍，还不显示，直到刷第三遍才终于全部显示看完了！还有，我的讨论更过分！我明明发表了，一点反应都没有，明明就能在讨论区看见我的观点，生气！然后我又删了重发，没用！还是不显示！然后我又发了5、6遍还是没有！甚至我还答了以前的讨论题！气死我了！
段千墨离,#巴南区小兔赞比##227大团结#这个说的真的超级对
乌泱泱啊,:之前根本没有点进去投过票却显示这样？？？
溧水交警,:#违法查处#【虚荣心作怪“江铃”变“路虎”】2020年3月3日9时许，溧水交警大队白马中队民警在老明线开展整治，一辆“路虎”缓缓驶来，民警发现该车外型异常，遂示意司机停车接受检查。经核查，该车显示车型为“江铃”小型轿车，但其车身标志却与登记信息不符，车身前后处的标志都被换成了“路虎”。询问得知，司机孙某因爱慕虚荣将车标更换。@南京交警
朱小渔-乐在其中,:他们在征求一个周年庆的LOGO设计意见，我作为外行，最关心的是：图标是否具有与边界的通透感而不是封闭感，以及竖版和横板的组合是否显示出不同的造型变化，最后是从视觉到感觉是否能让人产生无限延申的感觉，而不是画面有多大就只感觉到多大的面积而已。
我的征途是周围3公里,:Valve的PCVR大作半条命-艾莉克斯（Half-LifeAlyx）最新游戏视频，一个完整的Half-Life：Alyx游戏视频显示了三种运动类型。这是一款引发主流VR炒作的VR游戏。我的征途是周围3公里的微博视频
洛阳乐居,:【2月中国百城房价环比下跌0.24%】受新冠肺炎疫情影响，中国多个省区市的线下售楼处在春节前后暂停开放，部分楼盘推出促销优惠，2月份百城住宅均价环比出现阶段性小幅下跌。中指研究院1日发布的数据显示，2月份，中国100个城市新建商品住宅价格为每平方米15173元(人民币，下同)，环比下跌0.24%。详情查看：http://t.cn/A67NhCzt
变宝网,:【棉区措施得力备播影响较小】近日，中国棉花协会对棉花春耕备播情况进行了调查，调查显示：除湖北省及卫生事件较重的地区外，全国大部地区已逐渐复工复产，农资供应充足，价格保持稳定，运输基本畅通，棉农通过多种渠道购买种子、化肥等农资。如卫生事件3月下旬得到有效控制，棉花春耕将顺利展开。http://t.cn/A67NhaYp
李锦計,:我围观了@ibuick的回答，该问题价值68.00元，围观仅1元，快来一起围观~<br/>微博问答:能否推荐一款4K显示器，既能连接PC台式机打游戏，又可以方便地连接现在的MacBookPro作为扩展显示器工作？
用户6631580266,:#腾讯新闻#南方都市报:【武汉“城管队员殴打配菜员”续：3名城管被辞退、1人被立案调查】3月2日，一则“城管队员殴打生鲜店配送员”的网传视频显示，多名身穿制服的城管人员和一名黄衣男子发生肢体冲突。3月3日，该视频发布者向南都记者表示，这名黄衣男子为武汉阿拉加鲜生店的员工，双方因开店经营问题产生冲突。事发时，黄衣男子正进行配菜分拣工作，因为需要分拣菜品比较多，所以有几个配菜筐放在店外，店里也有其他店员帮忙。3http://t.cn/A67NhiPm来自@腾讯新闻
