高贵套套,:#二妹自律集中营#🍬Day3🍬1.有氧燃脂操28分钟30秒2.李知恩大腿前侧拉伸7分钟3.告别驼背，改善体态6分40秒4.瘦手臂操3分30秒5.瘦腰腹侧腰6分30秒6.女团瘦小腿10分05秒和漂亮小小一起运动冲吖
延边晨报,:【车主注意！暴雪马上要来了！车辆别停路边妨碍清雪】根据延边州气象局发布信息，预计3月3日午后至4日白天，我州将有一次暴雪天气过程。降雪主要集中在3日夜间至4日上午，我州中东部有暴雪，过程降水量为10毫米～20毫米，局部地方可达25毫米，其他地方有大雪，过程降水量为5毫米～10毫米。为保障雪中雪后大型清雪设备正常工作，确保清雪工作顺利进行，延吉市城市管理行政执法局提醒各私家车车主：今天下午起把车辆停放在马路边石以上路面或车库中，不要停在路边，以免在清雪过程中发生刮碰和影响清雪效果。如特殊情况需要临时停放，请即停即走，禁止长时间停车；务必在机动车前风挡明显位置留置电话号码提示牌，配合并主动为清雪挪车。http://t.cn/A67NPxTa
凤天乘云教育西安校区,:#抗击新型肺炎第一线#【广州白云机场本周每天进出港航班增加至600至700班】随着当前各行各业复工复产，本周(3月2日-8日)广州白云机场航班计划每天600-700班，较低谷时期增幅超过100%；南航、东航、国航、九元、深航、海航等主要航空公司计划环比上周计划增长超过90%。　自2月18日至3月2日，白云机场航班量和旅客量逐步开始恢复，如西安、成都、重庆、郑州等返工客流相对集中的航线上恢复和增加班次，北京、上海、南京等方向的航班也陆续增加航班。进出港航班已恢复至平均每日500余架次，其中3月1日进出港航班量为703架次。国际航班方面，曼谷、金边、仰光、万象等市场已经陆续恢复并增加频次。http://t.cn/A679lTfa
我叫高老庄,:今天读了郑永年教授一篇关于抗疫中关于个人意志与责任担当的文章，他的观点其实我不太同意，但是引发了我一些思考。为什么中国从政治官员到专业人士再到基层民众，在群体组织之外，表现出一种极端的不负责与不担当。郑教授把这归罪于个体错误，认为这是民众素质的缺失，并且得出结论认为在这种状况下，只有高度集中的权力组织才适合中国。我在有些方面不太认同，为什么中国民众缺乏责任感？因为从古至今中国社会政治一直是远离普通民众的。民众作为“被治理”的对象，责任是赋予统治者的，对于民众来说，没有社会责任这一概念，只有血缘责任，在当代社会中，这就表现为缺乏公民意识，高度的“自私”。权利（或者说自由）和责任是对等的，当个体权利被限制，人们就更倾向于推卸责任给其他人，而体制就需要更加集中权力以试图加强责任，如此走入死循环。近现代的中国社会革命，一直没有完成这一改造（只有孙中山先生试图提出了解决路线，但当时复杂的社会状况和他的早逝导致没有进行下去），而之后的所有领导人，其实都是传统民族主义者，或许并未意识到此问题的深远影响。社会改革一直头疼医疼，脚痛医脚，只是着眼于解决当下看到的现状与问题，没有对国家民族的长远发展生存做出足够的思考，导致一直以来，永远是老舍先生茶馆里表现的那样，无论大清国、北洋还是民国，谁来了都一样，我还是喝着我的茶，这不是简单的推行爱国主义教育能解决的。#关注新冠肺炎#
策略飞扬,:今日A股惯性冲高，尾市回落。从盘面抛压看，远大于节后第一个反弹。这也不难理解：1月中小创的上涨较为温和，其中强势股只集中在芯片等少数科技股中，所以集中性解套盘不多。2月的这次回落，是在科技股全面普涨后形成的套牢盘，所以比较集中。综合来看，A股进入短期震荡概率加大，热点不会有较大的的改变，可能会有些分化。#今日收盘点评#
大河健康新媒体,:【上海：#有重点国家旅居史入沪一律隔离14天#】上海市防控工作领导小组及相关部门，明确涉外疫情防控和入境人员健康管理措施：所有中外人员，凡是在进入上海之日前14天内，有过重点国家或地区旅居史的，一律实施居家或集中隔离健康观察，即一律隔离14天。对所有入境人员的管理坚持一视同仁，严格入口管理、严格落地管理、严格场所管理。（总台央视记者盛瑾瑜）
静海发布,:#静海战“疫”#【静海区召开安全生产工作视频会议】　3月2日下午，区政府组织召开安全生产工作视频会议，总结2019年安全生产工作，通报安全生产集中整治工作开展情况，并对2020年重点工作进行安排部署。区委常委、副区长曲海富出席，部分安委会成员单位及各乡镇、街道、园区分管副职分别在主会场和分会场参加了会议。　　曲海富同志围绕安全生产工作提出三点意见：一要提高政治站位，清醒认识安全生产工作的严峻形势；二要强化排查整治，确保隐患问题整改落实到位；三要强化责任落实，确保责任体系到位。
抚州发布,:【紧急通知！抚州南城县刚发布！】#江西全力防控新型肺炎#各乡（镇）党委、人民政府，县工业园区管委会，县委各部门、县直各单位、各人民团体：当前，疫情形势依然严峻复杂，防控正处在最吃劲的关键阶段。越是最吃劲的时候，越容不得半点放松。全县广大党员干部要坚决克服麻痹思想、松劲心态。为进一步做好我县疫情防控工作，现将有关事项紧急通知如下：一、严格发热病人接诊。县卫健委要加强乡（镇）卫生院和村卫健室管理，乡（镇）卫生院和村卫健室一律不得违规接诊发热病人。凡发现有发热、咳嗽等症状的人员，必须第一时间向县卫健委报告，由专人专车接送至县人民医院发热门诊留观，并立即开展CT检查和核酸检测。#10地连续10天以上无新增病例#二、严格药品销售管理。县市监局要加强药店监管，全县所有零售药店不得销售治疗发热类药品，销售治疗感冒咳嗽类药品必须严格进行实名制登记，并及时向县卫健委报备。三、严格落实管控责任。各乡（镇）要进一步加强本辖区内发热病人监测管理，组织人员逐门逐户开展排查；各机关事业单位要进一步加强本单位干部职工体温检测。对湖北省（武汉）、温州及南城县外其他地区来县人员要严格落实报备制度，并自到达我县开始一律实行14天集中隔离医学观察。对韩国、日本、意大利、新加坡等疫情严重国家的留学生及务工人员回国返乡，要坚持“三条线”摸排，县教体局要负责摸排我县在国外留学生情况，县公安局要利用大数据摸排在国外留学生、务工人员等信息，各乡镇要落实属地管理，摸排辖区内在国外人员情况。对组织不到位，报告不及时，落实不力的单位或个人，造成疫情传播扩散等严重后果的，将予以严肃追责问责。四、严格执行有奖举报。严格执行县疫情防控指挥部在2020年2月16日发布的《南城县关于实行疫情防控有奖举报的通告》要求，对发热而未按规定到县人民医院发热门诊就诊的人员，提供有效线索且经核查属实的首个举报者奖励300元；对擅自接诊发热病人或隐匿有关情况的医疗机构（除县人民医院和县防控指挥部确定的定点医院外），提供有效线索且经核查属实的首个举报者奖励300元。南城县新型冠状病毒感染的肺炎疫情防控应急指挥部办公室（代章）2020年3月3日
氢云链,:#氢能源##氢能燃料电池汽车##山东身边事##潍坊身边事#【催化陶瓷型氢燃料电池项目签约山东潍坊滨海区】近日，山东滨海区举行人才项目网上集中签约仪式，此次共有6个高层次人才项目总投资4.63亿元，均通过“屏对屏”网络签约形式落户滨海区。其中，闽江学者王兆林教授领衔的催化陶瓷型的氢能燃料电池研制与生产项目，能够研制和生产可直接采用载氢介质的燃料电池，推进能源行业的转型升级；
时代风向标栏目组,:#央视时代风向标栏目[超话]#【韩国新天地教会教主下跪道歉】韩国新冠肺炎疫情持续恶化，2号新增确诊病例599例，累计确诊达4，335例，死亡病例增至26例，并首次出现中国留学生确诊病例。而韩国新冠肺炎确诊病例中，近6成涉及东南部地区大邱的新天地教徒。韩国新天地教会教主李万熙2日在京畿道加平郡的新天地研修院“和平宫殿”召开记者会，他说接受了新冠肺炎检测，29日收到的结果为阴性。对于疫情爆发涉及新天地教会，他愧对国家和民众，当场下跪请求赦罪。他感谢韩国政府为防止新天地大邱教会内新冠肺炎扩散作出努力，新天地教会也在积极合作。新天地教会教主下跪道歉，但民众仍非常愤怒。专家分析推测，虽然韩国政府集中检测新天地教徒有否感染病毒，但今后一两个星期，韩国确诊病例仍会继续增加。（凤凰卫视金知贤韩国首尔报道）http://t.cn/A67CV3pU
青岛检察,:【南昌一#男子擅自驾车赴湖北接人面临行拘#】据@南昌公安，2月29日，南昌市新建区公安机关依法查处一起擅自驾车前往湖北疫区接人案件。经查，男子杜某未经申请批准，擅自驾驶小轿车于２月28日下午从南昌前往湖北疫区，并从某服务区接到王某华、杜某恒2人后晚间返昌，被属地公安机关查控，杜某及随车人员当即被送往集中隔离点观察。依据《治安管理处罚法》和南昌市疫情防控应急指挥部公告有关规定，公安机关将依法对杜某处以行政拘留处罚（待隔离期满后执行）；公安交管部门将根据交通管理相关法律法规，对杜某予以行政罚款并计分处理。
江苏发展大会,:【江苏各级财政已拨付防控经费54.66亿，一揽子政策帮企业减税收、担社保！】疫情防控期间，江苏投入“真金白银”极力确保各项资金需求，财政拨款涉及的行业面多且广。今天下午，江苏省财政副厅长李建平在接受媒体集中采访时介绍，截至目前，全省各级财政已拨付防控经费54.66亿元，省财政拨付9.3亿元，主要用于确诊和疑似病例医疗救治、防控设备和物资采购、医护人员补助以及隔离病房改造、医疗废弃物处置、公共区域消杀、检测及防控试剂器具和疫苗研发生产等。http://t.cn/A67CqpuO
弃桔,:社会主义核心价值观是社会主义核心价值体系的精神内核，它体现了社会主义核心价值体系的根本性质和基本特征，反映了社会主义核心价值体系的丰富内涵和实践要求，是社会主义核心价值体系的高度凝炼和集中表达。💪
飞天遁地小女警哈,:#二妹自律集中营#📝Day3打卡📝1.爱豆减肥舞15分钟✔2.印度魔性减肥舞✔3.Blackpink音乐燃脂✔4.五禽戏✔3月3日打卡每天进步一点点！
宠物训犬师老丁,:【教程反馈】前两天刚买的教程，今天就有这么好的效果，小姐姐在家自己训练3个月金毛，幼犬是最佳训练时期，小时候训练好，长大无烦恼
我爱任家葱-,#青你2音乐导师陈嘉桦Ella#@爱奇艺青春有你@爱奇艺第一，官方海报小图根本看不到音乐导师Ella陈嘉桦，不知道的还以为导师团就三个人？？你家美工不行的话可以换人了
无敌死循环,:2020年第一季度一个又一个的坏消息，接二连三的感冒，大概是要把这一年的霉运集中到1-3月份吧，希望快点好起来，平安顺利毕业
姜姜_fighting,:集中刷了几部二战的片子，想努力体会其中的动荡感，却总觉得我的喟叹和感动流于表面，不够深刻。和平年代带给我安稳，也雕刻了我对战争苦难极差的共情力。只是觉得，每一个在那样的环境下生存下来的人，都足以称得上传奇人生。“有时候你以为战争就是时刻在战斗，其实不是，战争更多的是等待，等待下一顿饭，等待下一次冲锋号角的响起“。即便眼下不会有人拿着枪让你双手举过头顶，可生活里的短兵相接丝毫不少。如果不能冲锋陷阵，记得管好嘴，守住心，耐心等待。现在的我，只想疫情结束，国泰民安，有的人在舞台上追梦发光，有的人过好普通却有力的人生。就只是等待寻常日子的到来。
老孙头谈股,:#新浪理财师#基建投资的回升叠加集中度提升将在供需两端利好建筑龙头央企，装配式建筑推广有望带动钢结构渗透率持续提升，业绩稳健增长叠加估值持续下行，设计龙头配置性价比凸显，再融资政策的部分放松对于http://t.cn/RFglML5
暴力熊baba,:我国再添16个新职业集中在新兴产业和现代服务业领域http://t.cn/A6796n5H
馋小棋,:流程导向难以解决棘手问题，但是也不容易犯下大错结果导向集中力量办大事，但在不确定的环境下可能做出错误的选择。『流程导向与结果导向』流程导向与结果导向
芥末堆看教育,:【人社部发布16个新职业，包括网约配送员、健康照护师等】近日，人力资源社会保障部、市场监管总局、统计局联合下发了《智能制造工程技术人员等职业信息的通知》。据了解，这16个新职业主要集中在新兴产业和现代服务业两大领域，分别为：智能制造工程技术人员、工业互联网工程技术人员、虚拟现实工程技术人员、连锁经营管理师、供应链管理师、网约配送员、人工智能训练师、电气电子产品环保检测员L、全媒体运营师、健康照护师、呼吸治疗师、出生缺陷防控咨询师、康复辅助技术咨询师、无人机装调检修工、铁路综合维修工、装配式建筑施工员。
新闻眼睛,:#新闻突发[超话]##全球新冠肺炎疫情速报#【辽宁丹东：#对2月12日后境外入丹东人员核酸检测#】据@丹东发布，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告，要求对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测。#狙击新型肺炎人人有责#
蠢狗视频集,:#萌宠集中营#家里有这么磨人的猫咪，你们说我该如何是好？蠢狗视频集的微博视频
口袋看日本,:那须动物王国的大猫#口袋看日本##萌宠集中营##日本#口袋看日本的微博视频
椟菽荫,:#资本论#不过很明显，积累，即由圆形运动变为螺旋形运动的再生产所引起的资本的逐渐增大，同仅仅要求改变社会资本各组成部分的量的组合的集中比较起来，是一个极缓慢的过程。假如必须等待积累使某些单个资本增长到能够修建铁路的程度，那么恐怕直到今天世界上还没有铁路。但是，集中通过股份公司转瞬之间就把这件事完成了。集中在这样加强和加速积累作用的同时，又扩大和加速资本技术构成的变革，即减少资本的可变部分来增加它的不变部分，从而减少对劳动的相对需求。通过集中而在一夜之间集合起来的资本量，同其他资本量一样，不断再生产和增大，只是速度更快，从而成为社会积累的新的强有力的杠杆。因此，当人们谈到社会积累的增进时，今天已经默默地把集中的作用包括在内。
黑色的泡饭,日本有一家邮轮公司已经宣布破产。
宁波江北住建交通,:浙江537个重大项目集中开工有一个指标创历史新高浙江537个重大项目集中开工有一个指标创历史新高
广州交通电台,:#共同战疫#【广州发布4号通告：居家隔离人员违反规定将转为集中隔离，酒吧、舞厅、电影院等密集区域仍暂缓开放】#抗疫最前线#今天（3/3）凌晨，广州市#新型冠状病毒肺炎#疫情防控指挥部发布《关于进一步加强#新冠肺炎#疫情防控工作的通告（第4号）》。#广州爆料#详情如下：
陆1大人的肥崽鹤,:八倍镜置顶集中哥哥的心脏怪不得我没有小哥哥因为我连八倍镜都不会用
头条点评,:【兴趣刺激法】俗话说得好，兴趣是最好的老师，孩子在哪一方面所表现出来的兴趣爱好，有助于他们集中精力去做此项事情，也就会往里去思考去开拓，花更多的时间和精力，孩子也就得到了很好的锻炼，尤其是艺体类的兴趣爱好，有助于孩子的右脑开发，对提升孩子的智力大有帮助。
酸甜苦辣一锅炖,:儿子去超市，总喜欢找一个售货员#搞笑逗比集中营#酸甜苦辣一锅炖的微博视频
柚子白醋,【theqoo】向狗狗说明不能散步理由的妈妈(好可爱好可爱TT©️seraphimkulumalu一支小暗暗的微博视频
椟菽荫,:#资本论#现在单个资本的互相吸引力和集中的趋势比以往任何时候都更加强烈。虽然集中运动的相对广度和强度在一定程度上由资本主义财富已经达到的数量和经济机构的优越程度来决定，但是集中的进展决不取决于社会资本的实际增长量。这正是集中与积聚一一它不过是规模扩大的再生产的另一种表现一一特别不同的地方。集中可以通过单纯改变既有资本的分配，通过单纯改变社会资本各组成部分的量的组合来实现。资本所以能在这里，在一个人手中增长成巨大的量，是因为它在那里，在许多单个人的手中被夺走了。在一个生产部门中，如果投入的全部资本已融合为一个单个资本时，集中便达到了极限。(77b)在一个社会里，只有当社会总资本或者合并在唯一的资本家手中，或者合并在唯一的资本家公司手中的时候，集中才算达到极限。
水奈濑由佳,关于如何看待外国人永居条例的一些探讨：
紫光阁,:【2月12日后境外入丹东人员全部开展核酸检测】为严防境外疫情输入，辽宁丹东市2日发布关于境外入丹人员疫情防控补充通告：①对2月12日以后境外入丹东人员，全部开展新冠肺炎核酸检测；②对2月28日以后境外入丹东人员，原则上统一组织到各属地政府定点宾馆集中隔离，并进行核酸检测！
爆笑狗狗毛小汪,:母爱是伟大的万物皆有灵，已收养代替买卖是我们能对流浪动物做的最好的事#萌宠集中营##愿你遇到的人都是温暖的##如何用韩剧的方式哄女友#爆笑狗狗毛小汪的微博视频
JK日常,:【投稿】打扰各位姐妹！想买一件基础款角襟衬衫，不死白/不透or微透/不勒脖子，经过阿常这里和🍑宝搜索，这四家的似乎比较好，所以集中起来问问买过的姐妹哪件更好，或者入过的某件值不值得入手，感谢各位姐妹！麻烦阿常带图，谢谢！！
你月识得此阵,:#肖战#陈情令剧本围读、集中培训时的肖战
憧憬_泽,:#韩国##韩国疫情爆发#韩国疫情爆发第14天，累计确诊4812例，90%集中在大邱&庆北。尽量别去人多密集的地方，错开上下班高峰搭乘地铁，去一些没什么人的地方，其实也还蛮安全的。韩国东海岸，海水也比较干净，最主要是人少。当然全程都要戴口罩、护目镜、帽子、消毒用品等…
星紫漾,:《史记》#书香商院打卡#1872426@山大商院图书馆《史记》既是一部史学著作，又是一部伟大的文学著作，开创了我国传记，文学的先河。《史记》中对古代优秀任务的颂扬，集中体现了中华民族的高尚情操，对丑恶现象的揭露，显示了中华民族嫉恶如仇的精神品质，如其中的大禹治水，表现了一个为民造福的大英雄，他三过家门而不入的塑造中，可以看出他的心非常善良，肯为别人付出。他治理了九条河流，为人民立下了丰功伟绩，也体现了劳动人民改变大自然的雄心壮志。http://t.cn/E4ktU0k
竹源居士,【#浙江干部教科书式劝回国侨胞#
广州萌猫舍,:纯白矮脚妹妹，底盘低啊
广州萌猫舍,:纯白矮脚妹妹，底盘低啊
黄冈政府门户网,:#万众一心抗击新冠肺炎#【黄州区集中力量开展“清零行动”大排查】从3月2日开始，黄州区再次吹响战斗冲锋号，在全区范围内开展疫情防控“清零行动”拉网式大排查，以确保堵住疫情防控漏洞，巩固防控成果。此次大排查由区防控指挥部联防联控组牵头，各乡镇街道、园区、黄冈高新区协同作战，集中力量对全区所有居民进行新一轮上门面对面排查，主要排查是否有发热、乏力、干咳和腹泻等症状。如有症状，迅速进行核酸检测，若为阳性，立即开展流行病学调查，对患者及其密接者进行集中隔离收治、观察，确保不留死角、不漏一人。据了解，此前黄州区开展过两次拉网式大排查，为遏制疫情蔓延奠定了坚实基础，此次进行新一轮大排查，是贯彻落实黄冈市疫情防控指挥统一要求的集中行动，将持续到3月6日12时。
兔纸奶糖肖可奈,:#每日一善[超话]#社会主义核心价值观是社会主义核心价值体系的精神内核，它体现了社会主义核心价值体系的根本性质和基本特征，反映了社会主义核心价值体系的丰富内涵和实践要求，是社会主义核心价值体系的高度凝炼和集中表达。
树袋袋儿,:还在家工作，看孩子的人来不了都是泪
weather爱好者,:【南方的雨】过去6小时，广西河池累计降水量达到了56.3毫米，属于暴雨量级！其中6小时降水榜前十中，广西独占八席，雨势还是相当强的！图2为今晨至中午闪电和短时强降水实况监测，强对流天气主要集中在云南、贵州、湖南和广西。从图3雷达看，切变线雨带正在东移南压，江南华南将出现中到大雨局地暴雨天气（图4）。图5-6为强对流天气预报，今天下午至明晨，广西等地的部分地区将有短时强降水天气，小时雨量20-30毫米，局地可达40毫米以上，由于对流能量逐渐减弱，雷暴大风和冰雹难以出现，短时强降水和普通闪电还是有的。
猫狗和胖子宠物直售,:拉布拉多幼犬小奶狗接受预定哦#萌宠集中营#价格公道成都
集微网官网,:【总投资8864亿元，阿里达摩院、龙芯智慧产业园等537个项目同日开工】3月3日，浙江省举行2020年扩大有效投资重大项目集中开工活动。总投资达8864亿元的537个项目正式开工，项目单体平均总投资16.5亿元。集微网
